0,1,2,3,4
J0435+2749,327,50,3.4,0.4
J0517+2212,327,50,3.4,1.5
J0627+0706,327,50,17,4
J0927+2345,327,50,1.2,0.3
J0943+2253,327,50,3.1,0.3
J0947+2740,327,50,2.3,0.3
J1246+2253,327,50,2.4,0.7
J1404+1159,327,50,4.3,0.9
J1756+1822,327,50,0.002,0
J1935+1159,327,50,1.5,0.9
J2050+1259,327,50,2.6,0.6
J2053+1718,327,50,4,2
J0435+2749,1400,50,0.24,0.03
J0517+2212,1400,50,0.46,0.02
J0627+0706,1400,50,1,0.1
J0927+2345,1400,50,0.06,0.01
J0943+2253,1400,50,0.39,0.07
J0947+2740,1400,50,0.13,0.01
J1246+2253,1400,50,0.39,0.03
J1404+1159,1400,50,0.027,0.005
J1756+1822,1400,50,0.014,0.005
J1935+1159,1400,50,0.17,0.03
J2050+1259,1400,50,0.05,0.01
J2053+1718,1400,50,0.003,0.002
