0,1,2,3,4
J0152+0948,430,7.68,0.91,0.03
J0546+2441,430,7.68,2.65,0.1
J0815+0939,430,7.68,3.7,0.2
J1503+2111,430,7.68,1.3,0.2
J1746+2245,430,7.68,1.26,0.07
J1807+0756,430,7.68,2.16,0.06
J1821+1715,430,7.68,3.7,0.2
J1829+2456,430,7.68,0.3,0.1
J1843+2024,430,7.68,0.37,0.03
J1849+2423,430,7.68,2.3,0.6
J1915+0752,430,7.68,1.7,0.1
J1916+0748,430,7.68,1.14,0.09
J1917+0834,430,7.68,0.44,0.1
J1933+0758,430,7.68,0.34,0.03
J1944+0907,430,7.68,3.9,0.3
J2007+0910,430,7.68,1.51,0.05
J2045+0912,430,7.68,3.5,0.2
