0,1,2,3,4
J0115+6325,129,0,16,8
J0122+1416,129,0,9,4
J0302+2252,129,0,20,10
J0349+2340,129,0,3,2
J0518+5125,129,0,4,2
J0742+4334,129,0,4,2
J0815+4611,129,0,18,9
J0857+3349,129,0,4,2
J1226+0005,129,0,20,10
J1236-0159,129,0,7,3
J1343+6634,129,0,14,7
J1404+1159,129,0,30,20
J1635+2332,129,0,9,4
J1735+6320,129,0,2,1
J1848+1516,129,0,6,3
J1849+2559,129,0,7,4
J1933+5335,149,0,1,0.5
J2051+1248,129,0,50,30
J2329+4743,129,0,3,2
J0115+6325,168,0,10,5
J0122+1416,168,0,4,2
J0302+2252,168,0,18,9
J0349+2340,168,0,1.1,6
J0518+5125,168,0,2,1
J0742+4334,168,0,3,2
J0815+4611,168,0,16,8
J0857+3349,168,0,2,1
J1226+0005,168,0,8,4
J1236-0159,168,0,6,3
J1343+6634,168,0,7,4
J1404+1159,168,0,18,9
J1635+2332,168,0,2,1
J1735+6320,168,0,1.8,0.9
J1848+1516,168,0,9,5
J1849+2559,168,0,4,2
J2051+1248,168,0,40,20
J2329+4743,168,0,3,1
J0122+1416,334,64,1.6,0
J0302+2252,334,64,5,1
J0349+2340,334,64,1.6,0
J0518+5125,334,64,2,0
J0742+4334,334,64,1.6,0
J0815+4611,334,64,2.5,0.6
J0857+3349,334,64,0.4,0.1
J1226+0005,334,64,0.5,0.1
J1236-0159,334,64,3,0.8
J1343+6634,334,64,1.5,0
J1404+1159,334,64,2.7,0.7
J1635+2332,334,64,0.4,0.1
J1735+6320,334,64,0.6,0.1
J1848+1516,334,64,1.5,0.4
J1849+2559,334,64,0.5,0.1
J2051+1248,334,64,1.8,0
J2329+4743,334,64,0.5,0.1
J0115+6325,1484,512,0.1,0
J0122+1416,1484,512,0.1,0
J1343+6634,1484,512,0.1,0
J1404+1159,1484,512,0.28,0.07
J0115+6325,1532,384,0.05,0.01
J0122+1416,1532,384,0.2,0
J0302+2252,1532,384,0.7,0.2
J0349+2340,1532,384,0.2,0
J0518+5125,1532,384,0.2,0
J0742+4334,1532,384,0.2,0
J0815+4611,1532,384,0.36,0.09
J0857+3349,1532,384,0.2,0
J1226+0005,1532,384,0.2,0
J1236-0159,1532,384,0.05,0.01
J1343+6634,1532,384,0.2,0
J1404+1159,1532,384,0.09,0.02
J1635+2332,1532,384,0.025,0.006
J1735+6320,1532,384,0.06,0.01
J1848+1516,1532,384,0.12,0
J1849+2559,1532,384,0.2,0
J2051+1248,1532,384,0.05,0.01
J2329+4743,1532,384,0.1,0.02
