0,1,2,3
J1453+1902,2100,800,0.04
J1713+0747,2100,800,6.15
J1738+0333,2100,800,0.59
J1741+1351,2100,800,0.03
B1855+09,2100,800,3.38
J1903+0327,2100,800,0.68
J1910+1256,2100,800,0.3
J1911+1347,2100,800,0.93
B1937+21,2100,800,7.07
J1944+0907,2100,800,0.53
J1949+3106,2100,800,0.07
J2017+0603,2100,800,0.29
J2214+3000,2100,800,0.8
J2234+0944,2100,800,1.11
J0023+0923,430,100,5.69
J0030+0451,430,100,14.85
J1022+1001,430,100,10.95
J1453+1902,430,100,1.58
J1640+2224,430,100,18.71
J1853+1303,430,100,6.91
B1855+09,430,100,18.06
J1911+1347,430,100,1.99
J1923+2515,430,100,4.03
J1944+0907,430,100,32.43
B1953+29,430,100,26.68
J2017+0603,430,100,1.96
J2019+2425,430,100,5.89
J2033+1734,430,100,2.82
J2229+2643,430,100,5.48
J2234+0944,430,100,3.07
J2317+1439,430,100,45.99
J0023+0923,1400,800,0.43
J1453+1902,1400,800,0.09
J1640+2224,1400,800,0.69
J1713+0747,1400,800,11.52
J1738+0333,1400,800,0.71
J1741+1351,1400,800,0.45
J1853+1303,1400,800,0.52
B1855+09,1400,800,3.81
J1903+0327,1400,800,0.74
J1910+1256,1400,800,0.52
J1911+1347,1400,800,0.99
J1923+2515,1400,800,0.26
J1944+0907,1400,800,2.8
B1953+29,1400,800,0.89
J1955+2527,1400,800,0.39
J2017+0603,1400,800,0.35
J2019+2425,1400,800,0.28
J2033+1734,1400,800,0.41
J2043+1711,1400,800,0.2
J2214+3000,1400,800,0.61
J2229+2643,1400,800,0.71
J2234+0611,1400,800,1.28
J2234+0944,1400,800,2.05
J2317+1439,1400,800,0.75
