Pulsar,Freq.,BAND,Flux
B0329+54,1410,80,90.9
B0450+55,1410,80,21.9
B0525+21,1410,80,85.7
B0540+23,1410,80,22.2
B0740-28,1410,80,20.7
B0823+26,1410,80,12.8
B0950+08,1410,80,80.4
B1133+16,1410,80,19.5
B1237+25,1410,80,28.3
B1642-03,1410,80,15.2
B1822-09,1410,80,6.3
B1929+10,1410,80,233.3
B2021+51,1410,80,52.3
B2310+42,1410,80,12.4
B2319+60,1410,80,27.1
B2351+61,1410,80,1.1
B0329+54,1710,40,39.4
B0355+54,1710,40,33.4
B0525+21,1710,40,8.8
B0809+74,1710,40,10.7
B0823+26,1710,40,4.1
B0919+06,1710,40,3.2
B1133+16,1710,40,24.5
B1929+10,1710,40,160.6
B2021+51,1710,40,30.8
B0136+57,4850,500,0.17
B0301+19,4850,500,3.09
B0329+54,4850,500,20.5
B0355+54,4850,500,3.36
B0450+55,4850,500,1.78
B0525+21,4850,500,0.1
B0540+23,4850,500,2.19
B0740-28,4850,500,2.47
B0809+74,4850,500,2.54
B0823+26,4850,500,2.63
B0919+06,4850,500,0.63
B0950+08,4850,500,41.3
B1133+16,4850,500,4.38
B1237+25,4850,500,0.79
B1642-03,4850,500,1.1
B1822-09,4850,500,4.76
B1915+13,4850,500,0.5
B1929+10,4850,500,6.8
B1946+35,4850,500,0.5
B2016+28,4850,500,0.85
B2020+28,4850,500,1.64
B2021+51,4850,500,9.73
B2045-16,4850,500,1.06
B2154+40,4850,500,0.64
B2310+42,4850,500,0.2
B2319+60,4850,500,0.24
B2351+61,4850,500,0.08
B0329+54,10450,300,1.75
B0355+54,10450,300,3.37
B0540+23,10450,300,1.16
B0740-28,10450,300,0.65
B0950+08,10450,300,8.61
B1133+16,10450,300,0.45
B1822-09,10450,300,0.26
B1929+10,10450,300,2.23
B2020+28,10450,300,0.77
B2021+51,10450,300,1.22
