0,1,2,3,4
B1557-50,325,16,128,38
B1557-50,610,16,66,13
B1557-50,1060,16,24.6,1.4
B1641-45,610,16,630,53
B1641-45,1060,16,323,52
B1740-31,325,16,7.6,0.6
B1740-31,610,16,10.6,2.6
B1740-31,1060,16,3,0.3
B1815-14,610,16,7.6,0
B1815-14,1060,16,8.6,0.2
B1820-14,610,16,8.8,0.6
B1820-14,1060,16,1.2,0.1
B1822-14,610,16,1.8,0.3
B1822-14,1060,16,2.4,0.5
B1823-13,1060,16,3.6,0.8
B1830-08,610,16,18.5,3.2
B1838-04,610,16,12.7,0.5
B1838-04,1060,16,2.7,0.8
B2303+46,325,16,5.3,0.6
B2303+46,610,16,2.8,1.3
B2303+46,1060,16,1.2,0.4
B2319+60,325,16,84.2,2.5
B2319+60,610,16,39,12
B2319+60,1060,16,23.9,0.3
