0,1,2,3
J0437-4715,700,0,406
J0613-0200,700,0,7.2
J0711-6830,700,0,99
J1022+1001,700,0,5.7
J1024-0719,700,0,5.4
J1045-4509,700,0,9.2
J1600-3053,700,0,3.4
J1603-7202,700,0,12.1
J1643-1224,700,0,15.1
J1713+0747,700,0,8.9
J1730-2304,700,0,11.2
J1732-5049,700,0,6.9
J1744-1134,700,0,7.8
J1824-2452A,700,0,10.6
J1857+0943,700,0,10.5
J1909-3744,700,0,6.1
J1939+2134,700,0,63
J2124-3358,700,0,12.3
J2129-5721,700,0,5
J2145-0750,700,0,16.4
J0437-4715,1400,0,149
J0613-0200,1400,0,2.3
J0711-6830,1400,0,3.2
J1022+1001,1400,0,6.1
J1024-0719,1400,0,1.5
J1045-4509,1400,0,2.7
J1600-3053,1400,0,2.5
J1603-7202,1400,0,3.1
J1643-1224,1400,0,4.8
J1713+0747,1400,0,10.2
J1730-2304,1400,0,3.9
J1732-5049,1400,0,1.7
J1744-1134,1400,0,3.1
J1824-2452A,1400,0,2
J1857+0943,1400,0,5
J1909-3744,1400,0,2.1
J1939+2134,1400,0,13.2
J2124-3358,1400,0,3.6
J2129-5721,1400,0,1.1
J2145-0750,1400,0,8.9
J0437-4715,3100,0,32.3
J0613-0200,3100,0,0.42
J0711-6830,3100,0,0.52
J1022+1001,3100,0,1.3
J1024-0719,3100,0,0.37
J1045-4509,3100,0,0.48
J1600-3053,3100,0,0.77
J1603-7202,3100,0,0.32
J1643-1224,3100,0,1.1
J1713+0747,3100,0,2.74
J1730-2304,3100,0,1.97
J1732-5049,3100,0,0.37
J1744-1134,3100,0,0.71
J1824-2452A,3100,0,0.33
J1857+0943,3100,0,1.01
J1909-3744,3100,0,0.77
J1939+2134,3100,0,1.55
J2124-3358,3100,0,0.44
J2129-5721,3100,0,0.11
J2145-0750,3100,0,1.38
