p,f,b,f,fe
J1741-3016,325,250,1.8,0.9
J1757-2223,325,250,1.05,0
J1845-0743,325,250,1.8,0.3
J1741-3016,348,250,2.1,0.4
J1757-2223,348,250,1.9,0
J1845-0743,348,250,2.4,0.2
J1741-3016,392,250,2.5,0.4
J1757-2223,392,250,1.45,0
J1845-0743,392,250,2.5,0.2
J1741-3016,416,250,2.4,0.3
J1757-2223,416,250,1.02,0
J1845-0743,416,250,2.8,0.1
J1741-3016,441,250,2.3,0.2
J1757-2223,441,250,1.2,0.5
J1845-0743,441,250,2.7,0.1
J1741-3016,584,300,5.5,0.5
J1757-2223,584,300,1.8,0.2
J1845-0743,584,300,4.8,0.4
J1741-3016,610,300,3.2,0.3
J1757-2223,610,300,1.5,0.2
J1845-0743,610,300,4.3,0.8
J1741-3016,638,300,5.1,0.5
J1757-2223,638,300,1.6,0.2
J1845-0743,638,300,4.9,0.4
J1741-3016,691,300,5.3,0.6
J1757-2223,691,300,1.5,0.2
J1845-0743,691,300,4.6,0.4
J1741-3016,744,300,3.8,0.4
J1757-2223,744,300,1.7,0.2
J1845-0743,744,300,4.9,0.4
J1741-3016,791,300,3.8,0.5
J1757-2223,791,300,1.4,0.2
J1845-0743,791,300,4.6,0.4
J1741-3016,1280,350,2.6,0.3
J1757-2223,1280,350,1,0.1
J1845-0743,1280,350,3,0.2
