psr,fre,band,flux,fe
J0051+0423,370,0,3.3,2.7
J1022+1001,370,0,19.8,8.7
J1518+4904,370,0,7.9,4.3
"J1652+2651	",370,0,22.7,3.4
J1758+3030,370,0,8.9,1.5
J2302+6028,370,0,12,1
J0051+0423,575,0,3,0
J0533+0402,575,0,4.2,0.7
J1022+1001,575,0,7.1,7.7
J1518+4904,575,0,6.8,7.7
"J1652+2651	",575,0,6.1,2.8
J1758+3030,575,0,4.5,1.3
J2139+2242,575,0,26.6,5
J2302+6028,575,0,5.7,1.2
J0051+0423,800,0,3.0 ,0
J0533+0402,800,0,2.6,0.6
J1022+1001,800,0,5.1,6.5
J1518+4904,800,0,3.0 ,0
"J1652+2651	",800,0,2.6,1
J1758+3030,800,0,2.8,1.4
J2139+2242,800,0,17.9,6
J2302+6028,800,0,3.2,1.5
