0,1,2,3
B0011+47,1408,40,11.4
B0031-07,1420,40,2
B0037+56,1420,40,0.6
B0045+33,1420,40,0.1
B0059+65,1408,40,1.1
B0105+65,1408,40,1.9
B0105+68,1420,40,0.5
B0136+57,1420,40,7.4
B0138+59,1420,40,6.8
B0144+59,1420,40,0.8
B0148-06,1408,40,1.9
B0149-16,1420,40,2.3
B0154+61,1408,40,3.2
B0226+70,1420,40,0.2
B0301+19,1420,40,11.6
B0320+39,1408,40,2.8
B0329+54,1408,40,190.3
B0331+45,1410,40,1.1
B0339+53,1408,40,0.6
B0353+52,1420,40,1.6
B0355+54,1408,40,35.6
B0402+61,1420,40,1.8
B0410+69,1420,40,0.4
B0447-12,1420,40,1.7
B0450+55,1408,40,21.5
B0450-18,1420,40,65.5
B0458+46,1420,40,1.2
B0523+11,1420,40,1.6
B0525+21,1615,40,12.4
B0531+21,1420,40,24.6
B0540+23,1408,40,15.3
B0559-05,1408,40,2.6
B0609+37,1410,40,1.2
B0611+22,1420,40,1.5
B0621-04,1408,40,1.1
B0626+24,1408,40,2.4
B0628-28,1420,40,105.7
B0643+80,1408,40,4.3
B0655+64,1408,40,1.1
B0656+14,1408,40,4.5
B0727-18,1420,40,1.3
B0740-28,1420,40,21.1
B0751+32,1408,40,0.9
B0756-15,1420,40,1.4
B0809+74,1315,40,16.8
B0818-13,1420,40,1.3
B0820+02,1408,40,5.3
B0823+26,1408,40,58.2
B0834+06,1420,40,7
B0841+80,1420,40,0.2
B0906-17,1420,40,6.1
B0919+06,1420,40,5.4
B0940+16,1420,40,1.4
B0942-13,1420,40,2.9
B0943+10,1408,40,0.2
B0950+08,1408,40,58.7
B1016-16,1420,40,0.4
B1039-19,1420,40,1.5
B1112+50,1420,40,2.2
B1133+16,1408,40,61
B1237+25,1408,40,26.8
B1254-10,1408,40,1.6
B1309-12,1420,40,0.3
B1508+55,1420,40,4.9
B1530+27,1420,40,2.1
B1540-06,1420,40,5
B1541+09,1420,40,7.3
B1552-23,1408,40,1.4
B1600-27,1420,40,0.8
B1604-00,1420,40,3.6
B1607-13,1420,40,3
B1612+07,1420,40,1.9
B1612-29,1420,40,0.2
B1620-09,1408,40,0.7
B1633+24,1420,40,0.7
B1642-03,1420,40,7.7
B1648-17,1420,40,1.1
B1649-23,1420,40,1.2
B1657-13,1420,40,0.7
B1700-18,1720,40,1.4
B1702-19,1315,40,16.2
B1706-16,1420,40,14.1
B1717-29,1420,40,3.4
B1718-02,1420,40,1.2
B1732-07,1315,40,4.3
B1737-30,1420,40,4.6
B1737+13,1420,40,2.5
B1738-08,1408,40,2.1
B1742-30,1420,40,9.7
B1745-12,1510,40,5.6
B1749-28,1420,40,18.3
B1756-22,1408,40,2.1
B1758-03,1420,40,0.4
B1800-21,1315,40,42.8
B1804-27,1420,40,0.5
B1804-08,1408,40,13.2
B1811+40,1408,40,1.1
B1818-04,1420,40,7.6
B1819-22,1408,40,3.9
B1821-19,1408,40,7.4
B1821+05,1420,40,5.6
B1822-09,1408,40,31
B1823-13,1420,40,5
B1826-17,1408,40,13.4
B1829-10,1408,40,0.3
B1831-03,1408,40,3
B1831-04,1420,40,11.6
B1839+09,1420,40,1.1
B1839+56,1420,40,4.6
B1841-05,1408,40,3
B1841-04,1420,40,1.1
B1842+14,1420,40,2.1
B1844-04,1408,40,4.1
B1845-01,1420,40,10.8
B1846-06,1408,40,1.5
B1851-14,1315,40,2.5
B1853+01,1315,40,0.4
B1857-26,1420,40,10.4
B1859+03,1420,40,5.9
B1900+05,1420,40,1.9
B1900+06,1408,40,1.8
B1900-06,1408,40,1.5
B1905+39,1410,40,1.4
B1907+02,1410,40,0.9
B1907+10,1420,40,1.6
B1907+03,1408,40,1.8
B1907-03,1420,40,1.3
B1907+12,1420,40,0.4
B1910+20,1615,40,0.8
B1911+13,1420,40,0.7
B1913+10,1420,40,2.5
B1914+13,1420,40,1.8
B1915+13,1408,40,6.5
B1917+00,1410,40,0.9
B1918+19,1420,40,1.5
B1919+14,1420,40,1.3
B1919+21,1420,40,3.2
B1920+21,1420,40,1.3
B1929+10,1408,40,89.8
B1929+20,1420,40,0.9
B1930+22,1408,40,1
B1933+16,1408,40,60.7
B1937+21,1420,40,11.5
B1940-12,1408,40,0.9
B1942+17,1420,40,0.6
B1942-00,1408,40,1.1
B1944+17,1420,40,10.1
B1946+35,1420,40,8.2
B1951+32,1420,40,0.8
B1952+29,1408,40,11.3
B1953+50,1408,40,11.1
B2000+40,1408,40,5.5
B2002+31,1420,40,2.1
B2003-08,1315,40,4.1
B2011+38,1420,40,7.5
B2016+28,1420,40,44.3
B2020+28,1420,40,5.7
B2021+51,1420,40,176.6
B2022+50,1420,40,1.1
B2027+37,1420,40,0.6
B2035+36,1420,40,1.6
B2045+56,1420,40,0.4
B2045-16,1420,40,118.2
B2053+36,1420,40,2.8
B2106+44,1420,40,3.4
B2110+27,1420,40,2.8
B2111+46,1408,40,33.2
B2113+14,1420,40,0.7
B2122+13,1420,40,0.4
B2148+63,1420,40,2.4
B2154+40,1420,40,17.5
B2210+29,1420,40,0.5
B2217+47,1420,40,5.4
