1,2,3,4
J2205+62,350,0,1.2
J0034+69,350,0,4.5
J0053+69,350,0,30.5
J0059+50,350,0,5.6
J0112+66,350,0,13.6
J0125+62,350,0,3.4
J0136+63,350,0,3.3
J0141+63,350,0,1.3
J0213+52,350,0,4.1
J0325+67,350,0,26.3
J0338+66,350,0,10.5
J0358+42,350,0,5.5
J0358+66,350,0,5.3
J0417+61,350,0,1.5
J0510+38,350,0,3.4
J0519+54,350,0,3.8
J0610+37,350,0,1.3
J0614+83,350,0,1.9
J0645+80,350,0,5.5
J0737+69,350,0,1.2
J0740+4l,350,0,5.8
J0741+66,350,0,32.5
J0746+66,350,0,7.4
J0750+57,350,0,2.9
J0943+41,350,0,8.6
J1101+65,350,0,10.4
J1110+58,350,0,1.6
J1122+78,350,0,17.1
J1320+67,350,0,1.4
J1627+86,350,0,5.6
J1629+43,350,0,3.2
J1647+66,350,0,3.3
J1649+80,350,0,4.1
J1706+59,350,0,8
J1710+49,350,0,14.1
J1800+50,350,0,23.5
J1815+55,350,0,4.2
J1821+41,350,0,2.6
J1859+76,350,0,3.3
J1911+37,350,0,7
J1921+42,350,0,8.1
J1922+58,350,0,3.1
J1929+62,350,0,1.4
J1935+52,350,0,3.1
J1939+66,350,0,2.1
J1941+43,350,0,9.1
J1942+81,350,0,4.8
J1953+67,350,0,1.7
J1954+43,350,0,2.8
J2001+42,350,0,20.2
J2017+59,350,0,1.1
J2027+74,350,0,2.4
J2105+28,350,0,8.6
J2113+67,350,0,1
J2122+54,350,0,3.4
J2137+64,350,0,6.4
J2207+40,350,0,3.8
J2210+57,350,0,1.1
J2229+64,350,0,3.4
J2243+69,350,0,3.2
J2316+69,350,0,2.5
J0645+5158,350,0,2.4
J0645+5158,820,0,0.37
J1434+7257,350,0,1.3
J1434+7257,820,0,0.34
J0214+5222,350,0,0.9
J0214+5222,820,0,0.24
J0636+5129,350,0,1.8
J0636+5129,820,0,0.66
J1816+4510,350,0,1.5
J1816+4510,820,0,0.28
