0,1,2,3
J0030+0451,1400,0,0.6
J0034-0534,1400,0,0.6
J0218+4232,1400,0,0.9
J0437-4715,1400,0,149
J0610-2100,1400,0,0.4
J0613-0200,1400,0,2.3
J0621+1002,1400,0,1.9
J0711-6830,1400,0,1.4
J0751+1807,1400,0,3.2
J0900-3144,1400,0,3.8
J1012+5307,1400,0,3
J1022+1001,1400,0,1.5
J1024-0719,1400,0,1.5
J1045-4509,1400,0,2.2
J1455-3330,1400,0,1.2
J1600-3053,1400,0,2.4
J1603-7202,1400,0,4.2
J1640+2224,1400,0,2
J1643-1224,1400,0,5
J1713+0747,1400,0,7.4
J1721-2457,1400,0,0.6
J1730-2304,1400,0,3.9
J1732-5049,1400,0,1.3
J1744-1134,1400,0,3.3
J1751-2857,1400,0,0.1
J1801-1417,1400,0,0.2
J1802-2124,1400,0,0.8
J1804-2717,1400,0,0.4
J1824-2452A,1400,0,1.6
J1843-1113,1400,0,0.1
J1853+1303,1400,0,0.4
J1857+0943,1400,0,5.9
J1909-3744,1400,0,2.6
J1910+1256,1400,0,0.5
J1911+1347,1400,0,0.1
J1911-1114,1400,0,0.5
J1918-0642,1400,0,0.6
J1939+2134,1400,0,13.8
J1955+2908,1400,0,1.1
J2010-1323,1400,0,1.6
J2124-3358,1400,0,2.4
J2129-5721,1400,0,1.6
J2145-0750,1400,0,9.3
J2229+2643,1400,0,0.9
J2317+1439,1400,0,4
