0,1,2,3,4
J0437-4715,8600,800,5.24,0.12
J0659+1414,8600,800,0.96,0.11
J0738-4042,8600,800,3.69,0.09
J0742-2822,8600,800,1.39,0.07
J0837-4135,8600,800,0.39,0.05
J0953+0755,8600,800,2.31,0.08
J1136+1551,8600,800,0.86,0.05
J1239+2453,8600,800,0.31,0.07
J1644-4559,8600,800,10.2,0.12
J1645-0317,8600,800,0.5,0.03
J1705-1906,8600,800,1.17,0.09
J1709-1640,8600,800,1.41,0.07
J1709-4429,8600,800,1.75,0.11
J1721-3532,8600,800,4.3,0.08
J1740-3015,8600,800,1.21,0.07
J1745-3040,8600,800,1.55,0.05
J1752-2806,8600,800,0.3,0.05
J1803-2137,8600,800,4.42,0.07
J1807-0847,8600,800,1.56,0.08
J1829-1751,8600,800,0.69,0.11
J1848-0123,8600,800,0.87,0.05
J1932+1059,8600,800,3.62,0.06
J1935+1616,8600,800,0.43,0.05
J1948+3540,8600,800,0.3,0.05
J2022+5154,8600,800,6.31,0.06
J2048-1616,8600,800,0.3,0.04
